참여자 (419),1주차,2주차,3주차,4주차,5주차,6주차,7주차,8주차,9주차,10주차,11주차,12주차,13주차,14주차,15주차,참석율
0417taehyun,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
1031nice,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
2yeseul,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,86.66666666666667
372dev,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,60.0
9bini,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
Ahnyezi,O,X,X,O,O,O,O,O,O,O,O,O,X,X,X,66.66666666666667
AimingBro,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
Azderica,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
BaeJi77,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,66.66666666666667
Bik00,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
BrandPark,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,13.333333333333334
ByungJun25,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
Changhwan-Son,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,20.0
Chohongjae,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
Choi-Yu-Rim,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
ChoiGiSung,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
DDOEUN,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,80.0
DevJiho,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,40.0
DevRyu,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,20.0
DevelopJKong,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
DonggeonHa,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
Dubidubab,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
EdwardJae,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
G-ONL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
GGob2,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,46.666666666666664
GeneratorEOM,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
GetMapping,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,73.33333333333333
Gomding,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,93.33333333333333
GunnwooKim,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
GyosunShin,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
HYEBPARK,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,46.666666666666664
HanJaehee,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,53.333333333333336
Hongyeongjune,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,26.666666666666668
HwangWonGyu,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,33.333333333333336
Hwanse,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
HyangKeunChoi,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,86.66666666666667
HyeonWuJeon,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,66.66666666666667
JEONGHWANMIN,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
JIN-096,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
JJongSue,X,X,X,O,O,O,O,O,O,O,X,O,O,X,O,66.66666666666667
JK-Kim4,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
JOYB28,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
JUNGHOJONG,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,6.666666666666667
JamieShin0201,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
Jangilkyu,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
Jason-time,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,86.66666666666667
JeongJin984,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,86.66666666666667
Jii-Yeong,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,40.0
JongWoonLee,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,86.66666666666667
JoongSeokD,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
JoosJuliet,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,33.333333333333336
JopopScript,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
JsKim4,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
JuHyun419,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
Jul-liet,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,53.333333333333336
Jun2-stack,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
JungHyeokMoon,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,80.0
Junhan0037,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
KJJ924,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,80.0
KilJaeeun,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,80.0
Kim-JunHyeong,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
Kimminsu0922,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
KwangJongJeon,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,73.33333333333333
Kwon-woohee,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
Lee-jaeyong,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
LeeGiCheol,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
LeeJeongSeok,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,80.0
Livenow14,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,40.0
Lob-dev,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
MinHeum,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
MoonHKLee,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,80.0
Myeongkook,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,26.666666666666668
Ohzzi,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
Park-SooYeon,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
Park-Youngwoo,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,33.333333333333336
ParkIlHoon,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,40.0
Parkyunhwan,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,46.666666666666664
QurieMoon,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,26.666666666666668
